feedback_id,persona,subscription_type,platform,rating,feature_area,feedback_text,sentiment
FB001,P1-Fundamental Analyst,Pro,Web,4,Stock Screener,"The 200+ filter screener is genuinely one of the best in the Indian market. I can build custom screens around ROCE > 20%, debt-to-equity < 0.5, and promoter holding > 50% with ease. It saves me hours every weekend.",Positive
FB002,P1-Fundamental Analyst,Pro,Web,3,Data Quality,"The financial data for most large-caps is accurate and timely. But for small-cap and micro-cap stocks, I've noticed balance sheet numbers that don't match BSE filings. Had one case where FY23 revenue was wrong by 20%. This needs fixing urgently.",Negative
FB003,P1-Fundamental Analyst,Free,Android,2,Pricing & Paywall,"Basic financial ratios like 10-year ROE history are locked behind Pro. For a research tool targeting serious investors, this feels too aggressive. Even Screener.in gives more historical data on the free tier.",Negative
FB004,P1-Fundamental Analyst,Pro,Web,5,Stock Screener,The pre-built screens like 'Consistent Compounders' and 'High ROCE Low Debt' are excellent starting points. I tweak them with my own filters and it becomes a powerful discovery engine.,Positive
FB005,P1-Fundamental Analyst,Pro,Android,3,Data Quality,"Quarterly results sometimes take 2-3 days to reflect after the company announces on exchanges. During earnings season, this is frustrating. A competitor updates within hours. Please fix this lag.",Negative
FB006,P1-Fundamental Analyst,Pro,Web,4,Stock Screener,I love that I can export screener results to Excel. The Pro export is clean and well-structured. Wish the free plan allowed at least limited exports.,Positive
FB007,P1-Fundamental Analyst,Pro,iOS,4,Data Quality,Peer comparison tables are very useful for sector-level analysis. I compare 8-10 companies in the same industry at once. Data is generally accurate for NSE-listed entities.,Positive
FB008,P1-Fundamental Analyst,Free,Web,2,Pricing & Paywall,The paywall pops up even when I'm browsing a basic stock page. Trying to view a simple 5-year EPS trend and it asks me to subscribe. This is annoying for casual research.,Negative
FB009,P1-Fundamental Analyst,Pro,Web,5,Stock Screener,Custom screener formulas with nested conditions are a game changer. I built a screen combining Altman Z-score proxies and it's been incredibly useful. Best screener for fundamental investors in India.,Positive
FB010,P1-Fundamental Analyst,Pro,Web,3,Data Quality,The promoter pledging data shows a delay. I found a stock where pledging had gone to 60% but Tickertape still showed the old number. This is critical data and it needs to be real-time.,Negative
FB011,P1-Fundamental Analyst,Pro,Android,4,UI/UX,The stock page layout is clean and logically structured — from overview to financials to shareholding. It flows naturally for a research workflow. Minor complaint: font size on mobile could be larger for number-heavy tables.,Mixed
FB012,P1-Fundamental Analyst,Free,Web,3,Stock Screener,"Free screener is decent for basic filtering but you hit paywalls very quickly. I understand it's a business, but 3 saves should be allowed on the free plan instead of zero.",Mixed
FB013,P1-Fundamental Analyst,Pro,Web,4,Stock Screener,"The screener history and saved screens persist across devices, which is very convenient. I start a research session on desktop and continue on mobile without losing my filters.",Positive
FB014,P1-Fundamental Analyst,Pro,iOS,2,Data Quality,Found that for one mid-cap company the net profit margin was showing incorrect values for two consecutive quarters. Filed a report through the app but got no response. Data errors on a paid plan are unacceptable.,Negative
FB015,P1-Fundamental Analyst,Pro,Web,5,Stock Screener,"The ability to screen by management quality proxies — like consistent dividend payout, no share dilution, low capital WIP — is something I haven't found anywhere else in India. Tickertape Pro is worth the subscription for this alone.",Positive
FB016,P1-Fundamental Analyst,Free,Android,3,UI/UX,"Good interface overall but the mobile app screener is not as powerful as the web. On mobile, I can't see all active filters at a glance. Need a filter summary panel on the screener mobile view.",Mixed
FB017,P1-Fundamental Analyst,Pro,Web,4,Data Quality,"The historical financial data goes back 10+ years for most large caps, which is great for long-term trend analysis. Only issue is that the data for a few SME IPO companies is missing or incomplete.",Mixed
FB018,P1-Fundamental Analyst,Pro,Web,3,Stock Screener,"The screener is powerful but filters can't be drag-and-drop reordered. Once I've set 12 filters, going back to change priority requires deleting and re-adding. This is a basic UX issue that should have been fixed long ago.",Negative
FB019,P1-Fundamental Analyst,Pro,Web,4,Market Data & MMI,The Market Mood Index is a genuinely useful sentiment gauge. I use it as a contrarian signal — when it hits Extreme Greed I get cautious. Nice that it shows historical MMI overlaid with Nifty.,Positive
FB020,P1-Fundamental Analyst,Free,Web,1,Pricing & Paywall,The 14-day trial requiring credit card authorization felt like a dark pattern. I entered my card details and was charged on day 15 with zero reminder. Had to dispute with my bank. Please send a reminder before charging.,Negative
FB021,P1-Fundamental Analyst,Pro,Web,4,Stock Screener,Ability to combine technical and fundamental filters in the same screen is underrated. I can find stocks with good fundamentals AND currently in an RSI oversold zone. This cross-filter capability is excellent.,Positive
FB022,P1-Fundamental Analyst,Pro,Android,3,Alerts & Notifications,"Price alerts work fine, but I want alerts triggered by fundamental events — like when quarterly PAT growth drops below 10%, or when debt-to-equity crosses a threshold. That would be a power feature.",Mixed
FB023,P1-Fundamental Analyst,Pro,Web,5,Stock Screener,"I've been using Screener.in and Trendlyne for years. Tickertape Pro now genuinely competes, especially for visual presentation and mobile experience. The screener is the strongest part of the product.",Positive
FB024,P1-Fundamental Analyst,Pro,iOS,3,Data Quality,Cash flow statement data is sometimes inconsistent — operating cash flow totals don't always reconcile with line items. Minor accounting display bug but it confuses me when I'm building DCF models.,Negative
FB025,P1-Fundamental Analyst,Pro,Web,4,Stock Screener,"The analyst consensus data — buy/hold/sell ratios and price targets — is a useful addition, especially for cross-checking my own thesis. Tickertape seems to aggregate multiple analyst views which adds reliability.",Positive
FB026,P1-Fundamental Analyst,Pro,Web,2,Customer Support,"Wrote to support about a data discrepancy in FII holding percentages. Got an auto-reply and then silence for 10 days. For a paid subscriber, the support response time is simply not acceptable.",Negative
FB027,P1-Fundamental Analyst,Free,Web,3,UI/UX,"The stock discovery page is a bit cluttered with too many feature cards. I want a clean, fast way to reach the stock financials page without scrolling through marketing content.",Negative
FB028,P1-Fundamental Analyst,Pro,Web,4,Data Quality,"Corporate actions data — rights issues, bonus, splits, buybacks — is well-maintained and reflects accurately in the charts. This is critical for long-term performance tracking.",Positive
FB029,P1-Fundamental Analyst,Pro,iOS,3,Charts & Technical Analysis,"For fundamental investors, the charts are adequate. But there are no annotations, no ability to mark key events on price charts. If I could mark earnings dates or news events on the chart, that would be very helpful.",Mixed
FB030,P1-Fundamental Analyst,Pro,Web,4,Stock Screener,Shareholding pattern history with quarter-on-quarter FII/DII change is excellent. I can quickly spot when smart money is quietly exiting a stock.,Positive
FB031,P2-Beginner Investor,Free,Android,5,UI/UX,I just started investing last year and Tickertape has been my go-to app. The interface is clean and doesn't overwhelm me. The Investment Scorecard gives me a quick sense of whether a stock is good without needing to read financial statements.,Positive
FB032,P2-Beginner Investor,Free,Android,2,Pricing & Paywall,"Every time I try to dig deeper into a stock I hit a paywall. I understand the premium model, but even basic things like 5-year EPS growth or debt history should be visible to free users. Other apps give more for free.",Negative
FB033,P2-Beginner Investor,Free,iOS,4,Onboarding,The onboarding was really smooth. Setting up my watchlist and linking my Groww account took less than 5 minutes. I could see all my holdings on Tickertape right away. Very beginner-friendly.,Positive
FB034,P2-Beginner Investor,Free,Android,3,UI/UX,The app is visually nice but some financial terms are not explained. When I see ROCE or EV/EBITDA I don't know what it means. Screener.in has tooltips that explain each metric. Tickertape should add this too.,Mixed
FB035,P2-Beginner Investor,Free,Android,5,Market Data & MMI,"The Market Mood Index is my favorite feature. Before I invest, I check if the market is in Fear or Greed territory. It's such a simple but powerful concept presented beautifully. Love it.",Positive
FB036,P2-Beginner Investor,Free,iOS,2,Pricing & Paywall,"Downloaded the app to learn about stocks. Within 10 minutes, I was hit with upsell banners everywhere. I felt like I was on a sales website, not a learning tool. Would have preferred a less pushy experience.",Negative
FB037,P2-Beginner Investor,Pro,Android,4,Onboarding,The curated portfolios from SEBI-registered advisors are very helpful for beginners like me. I used them as templates to build my first portfolio. Clear rationale for each stock picks.,Positive
FB038,P2-Beginner Investor,Free,Android,3,UI/UX,"The app is good but the home screen feels like there's too much happening. As a new investor, I don't need 10 different cards. A simplified beginner mode would help a lot.",Mixed
FB039,P2-Beginner Investor,Free,Android,1,Customer Support,"I had a question about how portfolio analysis works and tried to reach support. No chat support, only email. Waited 4 days for a reply. For a beginner needing quick answers, this is very frustrating.",Negative
FB040,P2-Beginner Investor,Free,iOS,5,Stock Screener,"The pre-built screens are perfect for beginners. 'Consistent Compounders', 'Dividend Aristocrats', 'High Growth Stocks' — these gave me great ideas when I didn't know where to start.",Positive
FB041,P2-Beginner Investor,Free,Android,2,Pricing & Paywall,I signed up for the 14-day free trial and got charged on day 15 with no prior notification. I didn't realize I had authorized recurring payment. The app should send a reminder 2-3 days before the trial ends.,Negative
FB042,P2-Beginner Investor,Free,Android,4,UI/UX,Love how stock news is curated on the stock page itself. I can read relevant news without jumping to Google. Makes research much more self-contained for a beginner.,Positive
FB043,P2-Beginner Investor,Pro,Android,3,Stock Screener,Upgraded to Pro thinking I'd understand the screener better. But the screener still feels complex. Need more beginner-friendly templates and maybe a guided 'build your first screen' tutorial flow.,Mixed
FB044,P2-Beginner Investor,Free,Android,4,Market Data & MMI,The explanation of MMI categories — Extreme Fear to Extreme Greed — is very educational. I learned what these mean just by reading the descriptions in the app. Great approach to financial literacy.,Positive
FB045,P2-Beginner Investor,Free,iOS,3,UI/UX,The stock comparison feature is useful but limited to 3 stocks. When I'm comparing sector peers I often need to compare 5-6 companies at once. Please allow at least 5.,Mixed
FB046,P2-Beginner Investor,Free,Android,5,UI/UX,"Best-looking investment research app in India. The charts, color coding, and cards are beautifully designed. Even my non-investing friends find it easy to use.",Positive
FB047,P2-Beginner Investor,Free,Android,2,Data Quality,I was researching a stock and the description on the company page was completely outdated — it said the company operated in a segment it had divested 2 years ago. Basic company profile data needs regular auditing.,Negative
FB048,P2-Beginner Investor,Pro,Android,4,Portfolio Tracker,The portfolio health check flagging red flags in my holdings is excellent. It highlighted that I was overexposed to one sector and had overlapping stocks. Very valuable for a beginner building their first portfolio.,Positive
FB049,P2-Beginner Investor,Free,iOS,3,Alerts & Notifications,Price alerts are useful but I want an alert type that says 'this stock entered your custom screener criteria.' That would be incredibly useful for passive investors who don't check the app every day.,Mixed
FB050,P2-Beginner Investor,Free,Android,1,Broker Integration,"Tried to link my Angel One account. The sync kept failing. Unlinked and re-linked three times. Finally gave up. If the core portfolio sync doesn't work, the whole app feels useless.",Negative
FB051,P2-Beginner Investor,Free,iOS,4,UI/UX,"The SIP calculator on mutual fund pages is simple and effective. I could quickly see what a ₹5,000 monthly SIP would grow to over 15 years. Helped me visualize my retirement goal.",Positive
FB052,P2-Beginner Investor,Free,Android,3,UI/UX,Would love a learning section inside the app — short videos or articles explaining financial ratios and how to use the screener. Right now I have to go to YouTube to understand what I'm looking at.,Mixed
FB053,P2-Beginner Investor,Pro,Android,4,Stock Screener,"The Investment Checklist on each stock — scoring profitability, valuation, entry point, and growth — is brilliant for someone like me who is still learning. It gives me a structured way to evaluate a stock.",Positive
FB054,P2-Beginner Investor,Free,Android,2,UI/UX,The app crashes every time I try to open a mutual fund page on my Samsung A32. Checked and the app is updated. This happens consistently. Please fix the stability issue on mid-range Android devices.,Negative
FB055,P2-Beginner Investor,Free,iOS,5,Onboarding,"Tickertape was the first investing app that didn't feel intimidating to me. The clean design, simple language, and well-organized information made me feel like I could actually understand the stock market.",Positive
FB056,P2-Beginner Investor,Free,Android,3,Pricing & Paywall,"The free tier is good for browsing but you can't save watchlists beyond a limit without Pro. I'd be okay paying a small fee if the limit was higher, but the current free cap is too restrictive.",Mixed
FB057,P2-Beginner Investor,Free,Android,4,Market Data & MMI,The 'Bulk Deals' section is something I'd never seen explained clearly before. Tickertape makes it easy to see who is buying large quantities and when. Very educational feature.,Positive
FB058,P2-Beginner Investor,Free,Android,2,UI/UX,Search on the app is inconsistent. Searching for a company by its short name or brand name often returns nothing. I have to type the exact registered company name to find it. This needs improvement.,Negative
FB059,P2-Beginner Investor,Free,iOS,4,UI/UX,The color-coded score cards for stocks make it very easy to quickly gauge quality. Green/yellow/red at a glance is intuitive for someone who doesn't want to read 50 metrics.,Positive
FB060,P2-Beginner Investor,Pro,Android,3,Portfolio Tracker,The diversification score is interesting but I don't always understand how it's calculated. A breakdown showing what's pulling the score down would make this feature much more actionable.,Mixed
FB061,P3-Active Trader,Pro,Android,2,Charts & Technical Analysis,"Tickertape is not for active traders. The charts are way too basic compared to TradingView. No multi-timeframe analysis, no ability to draw trend lines or Fibonacci levels. I use it only for fundamental screening.",Negative
